No.,Name,Genre,Place,Remarks
74,鹿島神宮のニホンジカ,動植物,鹿嶋市,「神の使い」として親しまれている
75,筑波北条米,名産品・特産品,,生産地域が限られているコシヒカリ
76,ショクダイオオコンニャク,動植物,つくば市,筑波実験植物園にある世界最大の花
77,牛すじの焼きカレーパン,ご当地グルメ,守谷市,守谷SA(下り)にあるパン屋で購入可
78,さしま茶の根本茶,名産品・特産品,,さしま茶は茨城三大銘茶の一つ
79,道の駅グランテラス筑西,観光スポット,筑西市,北関東最大級の敷地面積を誇る道の駅
80,石岡のおまつり(常陸國總社宮例大祭),イベント,石岡市,常陸國總社宮で毎年9月に行われる例祭
81,そうめん滝,観光スポット,常陸大宮市,那賀川にかかる落差10mの滝
82,黒こだまスイカ「誘惑のひとみ」,名産品・特産品,筑西市,皮が黒く高級感のあるスイカ
83,星乃珈琲店 茨城県立図書館店,グルメスポット,水戸市,客席で貸し出し前の本を読めるカフェ
84,鹿島臨海工業地帯の工場夜景,観光スポット,鹿嶋市・神栖市,ドライブしながら鑑賞できる夜景スポット
85,茨城のビール工場,工場・メーカー,,茨城はビールの製成数量日本一
86,筑波サーキット,観光スポット,下妻市,50周年を迎えた歴史あるサーキット場
87,ネーブルパーク 巨大地下迷路,観光スポット,古河市,ヘルメットを被って探検する全長173mの迷路
88,まぜるシェイク 茨城県産メロン,ご当地グルメ,,茨城・千葉のモスバーガーで数量限定で販売
89,ほしいも新聞,その他,,ほしいもをテーマにした新聞(茨城新聞発行)
90,はに丸タワー,観光スポット,水戸市,くれふしの里古墳公園にある高さ日本一の埴輪
91,水戸黄門漫遊マラソン,イベント,水戸市,水戸の名所を駆け抜けるフルマラソン大会
92,牛久シャトー,観光スポット,牛久市,日本初の本格的なワイン醸造場
93,半熟カレーせん,ご当地グルメ,,煎餅屋仙七が販売するカレー味のぬれせんべい
94,アユ,名産品・特産品,,久慈川や那珂川ではアユ釣りが盛ん
95,水戸京成百貨店,観光スポット,水戸市,全国各地の様々な物産展が開催される
96,ほしいも神社,観光スポット,ひたちなか市,欲しいものは全て手に入るという御利益がある
97,浅野いにお さん,その他,石岡市,石岡市出身の漫画家(代表作:うみべの女の子)
98,パンポン,スポーツ,日立市,大正時代に日立製作所の工場で生まれた球技
99,龍ケ崎コロッケ,ご当地グルメ,龍ケ崎市,龍ケ崎市はコロッケで街おこしを行っている
100,常陸牛 牛べん,ご当地グルメ,,常陸牛を使用した牛丼駅弁(水戸駅などで販売)
101,ガマランド,観光スポット,つくば市,筑波山の麓にある廃墟のようなテーマパーク
102,道の駅かさま,観光スポット,笠間市,特産の栗が食べられるカフェやお土産品が揃う
103,豊里ゆかりの森,観光スポット,つくば市,昆虫採集やキャンプなどを楽しめる自然公園
104,二ツ島(磯原海岸),観光スポット,北茨城市,ここで願い事を3つ祈るとうち1つが叶うらしい
105,鯉の唐揚げ,名産品・特産品,,霞ヶ浦で養殖された鯉を用いた郷土料理
106,ひたちおおたチーズ工房,観光スポット,常陸太田市,製造されたチーズの購入やチーズ作り体験も可
107,ラジオ体操,その他,日立市,日立市出身の遠山喜一郎さんが考案者の一人
108,大串貝塚ふれあい公園,観光スポット,水戸市,ダイダラボウや縄文時代がテーマの公園・施設
109,笠間の菊まつり,イベント,笠間市,笠間稲荷神社等で開かれる日本最古の菊まつり
110,砂浜図書館,観光スポット,大洗町,大洗サンビーチに開設された図書館(期間限定)
111,焼き芋専門店 芋やす,グルメスポット,土浦市,ほし焼きいもや芋蜜生キャラメル等が看板商品
112,富有柿,名産品・特産品,石岡市,皇室献上柿としても有名な柿の王様
113,ラーメン山岡家,グルメスポット,牛久市,牛久店が一号店のラーメンチェーン店
114,筑波山ケーブルカー＆ロープウェイ,観光スポット,つくば市,秋には車窓から紅葉やライトアップを楽しめる
115,ほしいも列車,その他,ひたちなか市,吊り革に干し芋がぶら下がった列車(期間限定)
116,ばんどう太郎,グルメスポット,境町,坂東みそ煮込みうどん等がある外食チェーン店
117,プテラノドン,その他,牛久市,空を眺めていると...？？？
118,きゅうりのキューちゃん,工場・メーカー,美浦村・守谷市,美浦村と守谷市に製造工場がある
119,ガガンインドカリーパン,ご当地グルメ,結城市,カレーパングランプリ2021で金賞受賞
120,北茨城市立図書館カフェ しゃぼんだま,観光スポット,北茨城市,ホットドッグは100円と安さがウリのカフェ
121,かすみがうらって、とっても凪！,その他,霞ヶ浦,ねもちゃんの音声を聞いて楽しめるツーリング
122,美浦トレーニング・センター,観光スポット,美浦村,施設見学も可能な競走馬のトレーニング施設
123,茨城県民の歌,その他,,茨城郷土の自然や伝統が詰まった県民歌
124,行方バーガー,ご当地グルメ,行方市,霞ヶ浦のナマズを用いた「なめパックン」など
125,凍みこんにゃく,名産品・特産品,,茨城県北の奥久慈地方で作られてきた保存食
126,いちご狩り,グルメスポット,,深作農園では時間無制限でいちご狩りができる
127,志ち乃,グルメスポット,土浦市,紫峰しょうゆばにらなど店舗限定商品も購入可
128,ならせ餅,イベント,,五穀豊穣と無病息災を願う小正月の伝統行事
129,ジョイフル本田,その他,,土浦市に本社を置くホームセンター
130,オズワルド,その他,,茨城放送のパーソナリティも務めるお笑い芸人
131,スタミナラーメン,ご当地グルメ,,"レバー, ニラ等を餡でとじて麺にかけたラーメン"
132,大洗マリンタワー,観光スポット,大洗町,"雄大な太平洋や筑波山, 富士山などが眺望できる"
133,干し芋 雪の華,ご当地グルメ,,紅はるかの旨みを凝縮した干し芋
134,土浦ウィンターフェスティバル,イベント,土浦市,土浦駅周辺を中心にイルミネーションが彩る
135,MEGAドン・キホーテつくば店,その他,,パンサー出演の「有吉の壁」のロケ地となった
136,正栄デリシィ,工場・メーカー,筑西市,サク山チョコ次郎等のチョコ菓子の製造工場
137,久慈川の氷花,その他,,"厳冬期, 水面にシャーベット状の氷が流れる現象"
138,水戸の梅,ご当地グルメ,水戸市,餡入りの求肥を赤しその葉で包んだ水戸の銘菓
139,レッドポアロー,名産品・特産品,城里町,那珂川流域の沖積土で育った甘みのある赤ねぎ
140,ひたちなかガレージセール,イベント,ひたちなか市,国営ひたち海浜公園で開かれる大規模なフリマ
141,時空戦士イバライガーR,その他,,茨城県を守るご当地ヒーロー
142,ジーコ像,観光スポット,鹿嶋市,カシマサッカースタジアムの広場にある記念碑
143,水戸の石畳(凪),ご当地グルメ,,弘道館の石畳がモチーフとなったガトーショコラ
144,サザコーヒーのカステラショートケーキ(凪),ご当地グルメ,,ねもちゃんのオススメはココア(黒)！
145,豆腐みそラーメン,ご当地グルメ,茨城県北部,ざく切りの豆腐とネギが入ったご当地ラーメン
146,雪あかり(凪),名産品・特産品,,大粒の大豆の味わいを堪能できる水戸納豆
147,高木商店の鯖缶(凪),名産品・特産品,,ねもちゃんのオススメは寒さば！
148,れんこんサブレー ハスだっぺ,ご当地グルメ,,茨城県産のれんこん粉末を使用したサブレー
149,ツルハドラッグ 上水戸店(凪),その他,水戸市,とにかく店内が明るいらしい
150,ダチョウ王国,観光スポット,石岡市,ダチョウ等約80種類の動物と出会える観光牧場
151,古徳沼,観光スポット,那珂市,毎年11月頃から約100羽の白鳥が飛来する
152,ザ・ヒロサワ・シティ会館,観光スポット,水戸市,「でんぱ組.inc コスモツアー 2018」の開催地
153,水戸駅のオタクショップ(凪),観光スポット,水戸市,丸井水戸店(跡地)の地下に多く並ぶ
154,けんちんそば,名産品・特産品,,けんちん汁にそばをつけて食べる風習が広まった
155,フルーツバスケット,グルメスポット,水戸市,大ボリュームのフルーツパフェが有名な喫茶店
156,吉原殿中,ご当地グルメ,,糖蜜ときな粉で霰を包んで伸ばした水戸の銘菓
157,"SABA de SHU, SABA de CHU",ご当地グルメ,,茨城の鯖を美味しく食べるために作られたお酒
158,母子島遊水地,観光スポット,筑西市,「逆さ筑波」や「ダイヤモンド筑波」を望める
159,"モーター最中, せんぷうき最中",ご当地グルメ,,日立製作所の製品をモチーフにした最中
160,漫遊記,名産品・特産品,,水戸市の明利酒類株式会社が製造する本格芋焼酎
161,らぽっぽ なめがたファーマーズヴィレッジ,観光スポット,行方市,さつまいもがメインの体験型農業テーマパーク
162,水戸郷土かるた,その他,,"水戸市の自然や歴史, 文化遺産を学べるかるた"
163,姥の懐マリンプール(凪母),観光スポット,ひたちなか市,潮の干満を利用した天然の海水プール
164,花立自然公園(凪母),観光スポット,常陸大宮市,肉眼でも星空が綺麗に見える公園
165,茨城弁ごじゃっぺかるた,その他,,茨城王が完全プロデュースする茨城弁かるた
166,丸三老舗のはま栗,ご当地グルメ,,栗渋皮煮の餡と求肥を使ったハマグリ型の最中
167,青木菓子店のかぼちゃまんじゅう,ご当地グルメ,稲敷市,皮に江戸崎かぼちゃを練り込んだまんじゅう
168,阿漕ヶ浦公園の桜,観光スポット,東海村,約200本のソメイヨシノが咲き誇る
169,虹どら,ご当地グルメ,潮来市,生地に米粉を用いたどら焼き(道の駅いたこで販売)
170,いばらきガパオ,ご当地グルメ,,"茨城産のレンコンや米, 鶏肉等をたっぷり使用"
171,釜谷沖水質自動監視所,観光スポット,潮来市,東国三社をイメージした外観の水質監視所(北浦)
172,歩く会,イベント,,2日間で70kmを歩き切る水戸一高の伝統行事
173,食べるお茶ジャム,ご当地グルメ,,猿島茶の茶葉がそのまま入ったジャム
174,カッパフェ,ご当地グルメ,牛久市,牛久のカッパをモチーフにしたパフェ
175,極イチゴとピスタチオ餡,ご当地グルメ,,丸三老舗の餅や餡を使用したドルチェピッツァ
176,水戸漫遊1日フリーきっぷ,その他,水戸市,400円で特定区間のバスが1日乗り放題になる切符
177,茨城県産アンデスメロンのジャムと赤肉メロンのジャム,ご当地グルメ,,茨城放送のアナウンサーとのコラボランチパック
178,和酒珈琲,ご当地グルメ,,生豆に森島酒造の日本酒を浸み込ませた珈琲
179,筑波巻,ご当地グルメ,,ごぼうや人参を鶏肉で巻き上げて煮込んだ料理
180,水戸偕楽園で採れた梅の梅干(根本漬物),名産品・特産品,,偕楽園の梅を使って伝統の製法で仕上げた梅干
181,海色クリームソーダ,ご当地グルメ,日立市,海に溶け込めるほど鮮やかな色のクリームソーダ
182,大子のお茶酒,ご当地グルメ,大子町,大子産の緑茶を使用したリキュール(珂北酒造)
183,水戸の納豆記念碑,観光スポット,水戸市,水戸駅南口に作られた藁納豆のモニュメント
184,スーパードライミュージアム,観光スポット,守谷市,スーパードライの世界観を体感できる体験型施設
185,ハッピー・メロン・シーズン,その他,,茨城のメロンが旬を迎える5～6月を指す
186,りぞーとぐるめ,ご当地グルメ,,大洗町・ひたちなか市の4種類の新ご当地グルメ
187,雨引観音の水中華,イベント,桜川市,雨引観音の池に紫陽花を浮かべるあじさい祭り
188,一番星,名産品・特産品,,鹿島アントラーズデザインのオリジナル品種米
189,コレイージャン,ご当地グルメ,,"かけるだけ, 混ぜるだけで使える万能中華調味料"
190,茨城県の空気,その他,,ゆったりと優しく居心地が良いですよね！
191,醤油ソフトクリーム,ご当地グルメ,ひたちなか市,黒澤醤油店の上質な醤油(仁右衛門)を使用
192,のし梅,ご当地グルメ,,南高梅・豊後梅を用いた伝統的な寒天菓子
193,笠間いなり寿司,ご当地グルメ,,そばやくるみ等を用いた変わり種のいなり寿司
194,恵水,名産品・特産品,,糖度が高く酸味が少ないオリジナル品種の梨
195,常陸青龍,名産品・特産品,常陸太田市,巨峰の実生から育成したオリジナル品種のブドウ
196,がりがりなます,名産品・特産品,,食感を残した粗い大根おろしが特徴のなます
197,石切山脈,観光スポット,笠間市,東京駅や国会議事堂に使われた稲田石の採掘場
198,守谷中央図書館,観光スポット,守谷市,育児コンシェルジュが配属された図書館(県内初)
199,かすみがうら市水族館,観光スポット,かすみがうら市,飼育員体験ガチャ(時期限定)ができる水族館
200,空のえき そ・ら・ら,観光スポット,小美玉市,小美玉市の卵や野菜など特産物が取り揃う道の駅
201,永源寺,観光スポット,大子町,11月には境内に真っ赤な紅葉が彩る「もみじ寺」
202,フォトサイクリングin笠間,イベント,笠間市,笠間市の数多のスポットを自転車で巡るイベント
203,日の丸ジン 蔵風土,名産品・特産品,,国産の柚子や山椒等で風味付けしたクラフトジン
204,道の駅 かつら,観光スポット,城里町,食堂では手打ちの「つけきのこそば」を味わえる
205,ラーメンショップ 牛久結束店,グルメスポット,牛久市,ネギチャーシューがメインの日本一のラーショ
206,硬派なほしいも ぷれすた,ご当地グルメ,,干し芋をプレスして手焼きで仕上げた煎餅
207,プッチーモ,ご当地グルメ,,一口サイズで手を汚さず食べられる干し芋
208,すいーとまろん,ご当地グルメ,笠間市,笠間の栗のみを使用した甘さ控えめの焼き菓子
209,どぶ汁,名産品・特産品,,"水分は加えず鮟鱇の身や肝, 野菜類を煮込んだ鍋"
210,水戸のねばり丼,ご当地グルメ,水戸市,"納豆や山芋, オクラなどネバネバ食材の丼もの"
